Stu_Ach_Rat,Rigor,Collab_Teachers,Supp_Env
Approaching Target,0.87,0.94,0.87
Approaching Target,0.8,0.83,0.65
Approaching Target,0.77,0.81,0.76
Approaching Target,0.77,0.76,0.68
Meeting Target,0.64,0.74,0.71
Meeting Target,0.8,0.81,0.83
Approaching Target,0.67,0.69,0.61
Approaching Target,0.7,0.75,0.65
Approaching Target,0.74,0.73,0.74
Meeting Target,0.8,0.86,0.73
Meeting Target,0.84,0.88,0.9
Approaching Target,0.78,0.84,0.75
Exceeding Target,0.88,0.94,0.76
Meeting Target,0.71,0.69,0.58
Meeting Target,0.87,0.87,0.78
Meeting Target,0.71,0.73,0.69
Meeting Target,0.71,0.73,0.69
Approaching Target,0.62,0.61,0.57
Meeting Target,0.81,0.81,0.78
Meeting Target,0.77,0.77,0.7
Meeting Target,0.78,0.85,0.76
Meeting Target,0.8,0.74,0.83
Approaching Target,0.82,0.85,0.82
Approaching Target,0.79,0.85,0.78
Meeting Target,0.84,0.8,0.81
Approaching Target,0.8,0.85,0.72
Meeting Target,0.88,0.93,0.81
Exceeding Target,0.86,0.88,0.83
Approaching Target,0.8,0.88,0.76
Approaching Target,0.91,0.91,0.85
Meeting Target,0.82,0.85,0.77
Approaching Target,0.76,0.78,0.66
Approaching Target,0.66,0.75,0.75
Meeting Target,0.79,0.85,0.74
Meeting Target,0.82,0.82,0.82
Approaching Target,0.8,0.86,0.78
Meeting Target,0.76,0.75,0.69
Meeting Target,0.76,0.71,0.69
Exceeding Target,0.86,0.89,0.74
Approaching Target,0.76,0.69,0.6
Meeting Target,0.66,0.64,0.68
Approaching Target,0.8,0.84,0.83
Exceeding Target,0.89,0.98,0.86
Exceeding Target,0.87,0.94,0.77
Meeting Target,0.75,0.75,0.76
Approaching Target,0.75,0.67,0.69
Meeting Target,0.69,0.66,0.66
Approaching Target,0.76,0.77,0.65
Meeting Target,0.63,0.58,0.64
Meeting Target,0.78,0.83,0.78
Meeting Target,0.8,0.77,0.69
Approaching Target,0.83,0.94,0.7
Exceeding Target,0.9,0.97,0.86
Exceeding Target,0.88,0.97,0.85
Exceeding Target,0.84,0.92,0.81
Approaching Target,0.74,0.71,0.69
Approaching Target,0.76,0.82,0.74
Approaching Target,0.82,0.93,0.73
Approaching Target,0.78,0.87,0.73
Exceeding Target,0.84,0.87,0.74
Approaching Target,0.89,0.98,0.86
Approaching Target,0.79,0.84,0.73
Not Meeting Target,0.65,0.62,0.79
Exceeding Target,0.77,0.85,0.75
Meeting Target,0.82,0.8,0.71
Meeting Target,0.68,0.8,0.65
Meeting Target,0.83,0.88,0.76
Exceeding Target,0.96,0.99,0.91
Meeting Target,0.62,0.68,0.58
Exceeding Target,0.8,0.82,0.67
Meeting Target,0.88,0.98,0.9
Meeting Target,0.78,0.92,0.7
Meeting Target,0.86,0.96,0.79
Meeting Target,0.92,0.93,0.93
Meeting Target,0.85,0.92,0.84
Meeting Target,0.79,0.87,0.81
Meeting Target,0.8,0.83,0.7
Meeting Target,0.71,0.68,0.59
Approaching Target,0.77,0.89,0.69
Meeting Target,0.77,0.8,0.83
Approaching Target,0.82,0.88,0.75
Meeting Target,0.76,0.8,0.76
Meeting Target,0.92,0.95,0.81
Approaching Target,0.8,0.7,0.7
Approaching Target,0.78,0.75,0.69
Not Meeting Target,0.85,0.84,0.89
Approaching Target,0.84,0.91,0.86
Meeting Target,0.96,0.98,0.97
Approaching Target,0.83,0.89,0.84
Meeting Target,0.87,0.89,0.77
Exceeding Target,0.92,0.95,0.95
Approaching Target,0.85,0.91,0.85
Meeting Target,0.93,0.95,0.92
Meeting Target,0.78,0.8,0.77
Approaching Target,0.69,0.78,0.66
Meeting Target,0.73,0.64,0.72
Meeting Target,0.78,0.72,0.73
Meeting Target,0.73,0.76,0.69
Meeting Target,0.97,0.98,0.94
Approaching Target,0.8,0.8,0.73
Approaching Target,0.82,0.9,0.71
Meeting Target,0.73,0.77,0.65
Approaching Target,0.75,0.83,0.72
Meeting Target,0.83,0.89,0.85
Meeting Target,0.78,0.86,0.67
Exceeding Target,0.89,0.96,0.83
Approaching Target,0.73,0.74,0.67
Meeting Target,0.77,0.78,0.7
Meeting Target,0.89,0.88,0.85
Meeting Target,0.91,0.92,0.85
Meeting Target,0.96,0.97,0.95
Approaching Target,0.8,0.85,0.76
Approaching Target,0.88,0.89,0.83
Meeting Target,0.73,0.74,0.69
Approaching Target,0.8,0.78,0.81
Approaching Target,0.84,0.86,0.71
Meeting Target,0.79,0.86,0.76
Approaching Target,0.83,0.91,0.84
Meeting Target,0.85,0.89,0.83
Approaching Target,0.9,0.97,0.88
Meeting Target,0.78,0.81,0.74
Meeting Target,0.86,0.93,0.8
Approaching Target,0.73,0.77,0.69
Approaching Target,0.92,0.91,0.88
Approaching Target,0.79,0.79,0.73
Meeting Target,0.8,0.77,0.69
Approaching Target,0.8,0.82,0.72
Approaching Target,0.84,0.87,0.75
Exceeding Target,0.86,0.85,0.77
Approaching Target,0.59,0.75,0.65
Approaching Target,0.82,0.85,0.76
Meeting Target,0.83,0.9,0.75
Approaching Target,0.73,0.78,0.7
Meeting Target,0.9,0.96,0.91
Meeting Target,0.72,0.77,0.72
Approaching Target,0.7,0.67,0.72
Approaching Target,0.82,0.83,0.77
Approaching Target,0.81,0.85,0.74
Approaching Target,0.79,0.81,0.7
Meeting Target,0.87,0.84,0.82
Approaching Target,0.83,0.93,0.83
Approaching Target,0.83,0.77,0.82
Approaching Target,0.82,0.9,0.8
Meeting Target,0.88,0.91,0.88
Approaching Target,0.88,0.9,0.89
Meeting Target,0.75,0.8,0.86
Approaching Target,0.6,0.63,0.63
Approaching Target,0.9,0.95,0.87
Approaching Target,0.7,0.75,0.77
Meeting Target,0.77,0.84,0.75
Meeting Target,0.89,0.96,0.8
Approaching Target,0.7,0.79,0.7
Meeting Target,0.72,0.82,0.77
Exceeding Target,0.91,0.87,0.86
Approaching Target,0.87,0.94,0.78
Approaching Target,0.8,0.8,0.77
Meeting Target,0.74,0.8,0.68
Meeting Target,0.82,0.86,0.7
Meeting Target,0.76,0.89,0.67
Meeting Target,0.84,0.85,0.8
Approaching Target,0.76,0.77,0.7
Meeting Target,0.81,0.87,0.77
Meeting Target,0.8,0.84,0.69
Approaching Target,0.85,0.89,0.78
Meeting Target,0.82,0.8,0.78
Meeting Target,0.84,0.87,0.79
Meeting Target,0.89,0.92,0.86
Meeting Target,0.9,0.96,0.83
Approaching Target,0.74,0.75,0.71
Meeting Target,0.79,0.84,0.78
Meeting Target,0.81,0.81,0.73
Approaching Target,0.81,0.91,0.78
Approaching Target,0.78,0.73,0.69
Not Meeting Target,0.86,0.91,0.84
Approaching Target,0.67,0.68,0.62
Approaching Target,0.82,0.77,0.83
Not Meeting Target,0.72,0.68,0.62
Meeting Target,0.7,0.79,0.69
Approaching Target,0.81,0.89,0.75
Approaching Target,0.74,0.72,0.68
Exceeding Target,0.86,0.89,0.83
Approaching Target,0.68,0.83,0.65
Meeting Target,0.87,0.89,0.82
Meeting Target,0.86,0.88,0.72
Not Meeting Target,0.74,0.75,0.68
Approaching Target,0.73,0.7,0.64
Meeting Target,0.74,0.72,0.74
Approaching Target,0.81,0.83,0.72
Approaching Target,0.74,0.77,0.69
Approaching Target,0.7,0.56,0.62
Meeting Target,0.77,0.71,0.76
Meeting Target,0.81,0.79,0.78
Meeting Target,0.79,0.86,0.72
Approaching Target,0.54,0.51,0.53
Approaching Target,0.79,0.8,0.71
Approaching Target,0.88,0.93,0.83
Not Meeting Target,0.62,0.7,0.6
Meeting Target,0.8,0.71,0.76
Meeting Target,0.75,0.77,0.66
Meeting Target,0.78,0.66,0.83
Approaching Target,0.55,0.51,0.59
Meeting Target,0.67,0.66,0.67
Approaching Target,0.76,0.84,0.74
Meeting Target,0.94,0.93,0.88
Meeting Target,0.89,0.92,0.83
Approaching Target,0.91,0.89,0.89
Approaching Target,0.79,0.89,0.67
Approaching Target,0.87,0.92,0.9
Meeting Target,0.82,0.83,0.67
Approaching Target,0.82,0.92,0.87
Exceeding Target,0.84,0.75,0.82
Meeting Target,0.94,0.98,0.96
Approaching Target,0.74,0.87,0.75
Approaching Target,0.85,0.93,0.79
Not Meeting Target,0.79,0.9,0.77
Not Meeting Target,0.86,0.75,0.77
Meeting Target,0.9,0.97,0.89
Meeting Target,0.77,0.92,0.89
Approaching Target,0.77,0.79,0.75
Approaching Target,0.86,0.89,0.87
Meeting Target,0.75,0.9,0.75
Meeting Target,0.77,0.84,0.72
Approaching Target,0.79,0.84,0.74
Approaching Target,0.76,0.85,0.72
Meeting Target,0.8,0.74,0.71
Approaching Target,0.97,0.95,0.99
Meeting Target,0.87,0.88,0.81
Approaching Target,0.94,0.81,0.84
Approaching Target,0.77,0.77,0.74
Meeting Target,0.73,0.77,0.7
Approaching Target,0.86,0.85,0.78
Meeting Target,0.87,0.89,0.84
Approaching Target,0.73,0.87,0.64
Approaching Target,0.78,0.72,0.7
Approaching Target,0.88,0.94,0.91
Meeting Target,0.85,0.97,0.92
Meeting Target,0.9,0.95,0.86
Approaching Target,0.92,0.94,0.91
Meeting Target,0.9,0.92,0.94
Meeting Target,0.93,0.88,0.93
Meeting Target,0.88,0.96,0.8
Meeting Target,0.91,0.94,0.84
Approaching Target,0.79,0.86,0.71
Approaching Target,0.82,0.91,0.72
Approaching Target,0.87,0.91,0.89
Meeting Target,0.91,0.98,0.96
Meeting Target,0.86,0.89,0.77
Approaching Target,0.85,0.92,0.86
Meeting Target,0.94,0.96,0.97
Approaching Target,0.85,0.89,0.81
Approaching Target,0.86,0.94,0.9
Approaching Target,0.84,0.91,0.83
Meeting Target,1,1,1
Approaching Target,0.74,0.83,0.67
Approaching Target,0.89,0.93,0.8
Exceeding Target,0.86,0.94,0.88
Meeting Target,0.73,0.88,0.8
Approaching Target,0.88,0.95,0.83
Meeting Target,0.91,0.95,0.83
Not Meeting Target,0.77,0.89,0.72
Approaching Target,0.87,0.87,0.73
Meeting Target,0.74,0.72,0.82
Exceeding Target,0.87,0.88,0.88
Meeting Target,0.84,0.91,0.83
Meeting Target,0.62,0.75,0.78
Meeting Target,0.9,0.92,0.93
Meeting Target,0.76,0.84,0.76
Exceeding Target,0.87,0.86,0.86
Exceeding Target,0.89,0.86,0.88
Exceeding Target,0.86,0.86,0.82
Exceeding Target,0.88,0.93,0.93
Exceeding Target,0.81,0.85,0.76
Meeting Target,0.83,0.87,0.85
Exceeding Target,0.91,0.92,0.93
Meeting Target,0.68,0.67,0.74
Meeting Target,0.88,0.89,0.91
Exceeding Target,0.9,0.96,0.95
Meeting Target,0.83,0.9,0.8
Exceeding Target,0.87,0.92,0.89
Meeting Target,0.77,0.78,0.84
Exceeding Target,0.94,0.96,0.95
Meeting Target,0.85,0.92,0.91
Approaching Target,0.84,0.91,0.82
Meeting Target,0.83,0.84,0.86
Exceeding Target,0.95,0.98,0.95
Approaching Target,0.8,0.8,0.8
Meeting Target,0.81,0.94,0.73
Exceeding Target,0.89,0.89,0.82
Exceeding Target,0.85,0.87,0.81
Approaching Target,0.69,0.79,0.67
Approaching Target,0.81,0.89,0.74
Approaching Target,0.68,0.66,0.59
Meeting Target,0.71,0.77,0.73
Approaching Target,0.84,0.95,0.84
Meeting Target,0.8,0.83,0.76
Meeting Target,0.84,0.9,0.81
Exceeding Target,0.97,0.99,0.98
Exceeding Target,0.84,0.94,0.81
Meeting Target,0.83,0.88,0.79
Meeting Target,0.93,0.96,0.9
Exceeding Target,0.89,0.97,0.86
Meeting Target,0.92,0.98,0.92
Approaching Target,0.82,0.91,0.78
Approaching Target,0.77,0.8,0.79
Approaching Target,0.91,0.9,0.88
Exceeding Target,0.91,0.91,0.84
Approaching Target,0.78,0.8,0.66
Meeting Target,0.77,0.82,0.74
Approaching Target,0.82,0.91,0.79
Meeting Target,0.85,0.88,0.87
Meeting Target,0.97,1,0.96
Meeting Target,0.83,0.89,0.79
Meeting Target,0.86,0.87,0.85
Approaching Target,0.85,0.96,0.84
Exceeding Target,0.84,0.87,0.87
Approaching Target,0.78,0.88,0.69
Meeting Target,0.85,0.88,0.87
Approaching Target,0.8,0.83,0.76
Exceeding Target,0.88,0.94,0.78
Approaching Target,0.89,0.93,0.87
Approaching Target,0.69,0.77,0.52
Exceeding Target,0.9,0.89,0.81
Meeting Target,0.85,0.91,0.75
Approaching Target,0.89,0.99,0.9
Approaching Target,0.87,0.9,0.84
Meeting Target,0.83,0.8,0.72
Exceeding Target,0.95,0.97,0.93
Exceeding Target,0.85,0.95,0.84
Exceeding Target,0.89,0.86,0.81
Approaching Target,0.82,0.91,0.69
Meeting Target,0.75,0.74,0.71
Meeting Target,0.89,0.91,0.8
Exceeding Target,0.95,0.91,0.94
Approaching Target,0.86,0.91,0.8
Approaching Target,0.8,0.8,0.68
Approaching Target,0.81,0.84,0.74
Exceeding Target,0.94,0.92,0.9
Meeting Target,0.91,0.95,0.9
Not Meeting Target,0.83,0.66,0.69
Meeting Target,0.97,0.97,0.97
Meeting Target,0.89,0.96,0.75
Approaching Target,0.78,0.88,0.83
Approaching Target,0.9,0.92,0.78
Exceeding Target,0.81,0.83,0.58
Not Meeting Target,0.74,0.75,0.76
Approaching Target,0.81,0.77,0.75
Approaching Target,0.89,0.91,0.84
Approaching Target,0.78,0.8,0.63
Meeting Target,0.77,0.93,0.7
Meeting Target,0.84,0.89,0.81
Approaching Target,0.88,0.93,0.83
Approaching Target,0.78,0.78,0.78
Meeting Target,0.71,0.87,0.71
Meeting Target,0.83,0.83,0.73
Approaching Target,0.85,0.84,0.77
Approaching Target,0.87,0.96,0.83
Meeting Target,0.87,0.89,0.74
Meeting Target,0.71,0.71,0.68
Not Meeting Target,0.91,0.89,0.84
Approaching Target,0.81,0.87,0.74
Not Meeting Target,0.87,0.92,0.85
Approaching Target,0.83,0.8,0.74
Meeting Target,0.91,0.97,0.78
Meeting Target,0.75,0.78,0.64
Meeting Target,0.81,0.82,0.7
Meeting Target,0.82,0.86,0.68
Meeting Target,0.73,0.87,0.67
Meeting Target,0.93,0.97,0.87
Approaching Target,0.76,0.83,0.78
Meeting Target,0.73,0.75,0.67
Exceeding Target,0.91,0.93,0.93
Meeting Target,0.74,0.83,0.75
Exceeding Target,0.88,0.91,0.87
Approaching Target,0.88,0.86,0.81
Meeting Target,0.88,0.9,0.9
Approaching Target,0.93,0.98,0.93
Meeting Target,0.88,0.9,0.82
Approaching Target,0.86,0.94,0.87
Approaching Target,0.75,0.73,0.64
Meeting Target,0.71,0.66,0.7
Approaching Target,0.78,0.85,0.84
Meeting Target,0.83,0.85,0.71
Approaching Target,0.75,0.82,0.71
Approaching Target,0.87,0.88,0.83
Meeting Target,0.76,0.71,0.7
Exceeding Target,0.74,0.8,0.69
Approaching Target,0.78,0.83,0.73
Exceeding Target,0.85,0.85,0.89
Meeting Target,0.91,0.97,0.92
Meeting Target,0.76,0.81,0.77
Approaching Target,0.83,0.92,0.87
Approaching Target,0.77,0.87,0.68
Approaching Target,0.74,0.81,0.68
Meeting Target,0.82,0.88,0.72
Meeting Target,0.78,0.91,0.73
Meeting Target,0.85,0.91,0.77
Approaching Target,0.83,0.91,0.74
Approaching Target,0.85,0.94,0.76
Meeting Target,0.88,0.86,0.82
Approaching Target,0.89,0.91,0.94
Approaching Target,0.78,0.81,0.74
Approaching Target,0.73,0.78,0.64
Approaching Target,0.78,0.88,0.73
Approaching Target,0.75,0.82,0.74
Meeting Target,0.77,0.81,0.69
Meeting Target,0.77,0.85,0.82
Meeting Target,0.86,0.87,0.79
Exceeding Target,0.86,0.97,0.88
Meeting Target,0.85,0.91,0.87
Meeting Target,0.84,0.9,0.74
Exceeding Target,0.81,0.84,0.85
Meeting Target,0.86,0.96,0.87
Meeting Target,0.91,0.94,0.95
Exceeding Target,0.86,0.93,0.94
Exceeding Target,0.84,0.87,0.81
Exceeding Target,0.9,0.95,0.92
Meeting Target,0.94,0.97,0.98
Meeting Target,0.88,0.95,0.91
Meeting Target,0.85,0.9,0.87
Meeting Target,0.85,0.92,0.81
Meeting Target,0.9,0.93,0.93
Meeting Target,0.79,0.82,0.81
Exceeding Target,0.89,0.93,0.87
Exceeding Target,0.81,0.87,0.77
Approaching Target,0.81,0.8,0.84
Exceeding Target,0.84,0.92,0.79
Exceeding Target,0.88,0.92,0.91
Exceeding Target,0.72,0.73,0.77
Meeting Target,0.77,0.78,0.72
Meeting Target,0.8,0.86,0.77
Meeting Target,0.81,0.87,0.77
Meeting Target,0.83,0.87,0.74
Exceeding Target,0.83,0.87,0.83
Meeting Target,0.86,0.95,0.78
Exceeding Target,0.84,0.82,0.87
Exceeding Target,0.92,0.98,0.95
Approaching Target,0.78,0.89,0.83
Meeting Target,0.86,0.85,0.87
Exceeding Target,0.87,0.87,0.77
Exceeding Target,0.88,0.96,0.9
Exceeding Target,0.79,0.8,0.69
Meeting Target,0.94,0.96,0.96
Approaching Target,0.8,0.71,0.83
Meeting Target,0.78,0.88,0.84
Meeting Target,0.91,0.95,0.91
Meeting Target,0.82,0.91,0.79
Meeting Target,0.84,0.93,0.85
Exceeding Target,0.9,0.97,0.84
Meeting Target,0.95,0.97,0.92
Meeting Target,0.93,0.97,0.93
Exceeding Target,0.87,0.94,0.94
Meeting Target,0.86,0.93,0.82
Meeting Target,0.84,0.89,0.9
Meeting Target,0.76,0.84,0.89
Meeting Target,0.85,0.94,0.9
Meeting Target,0.67,0.71,0.53
Exceeding Target,0.84,0.84,0.87
Exceeding Target,0.83,0.91,0.83
Meeting Target,0.89,0.89,0.88
Approaching Target,0.98,0.98,0.98
Meeting Target,0.81,0.88,0.83
Meeting Target,0.73,0.59,0.69
Meeting Target,0.81,0.92,0.79
Meeting Target,0.86,0.91,0.77
Meeting Target,0.78,0.82,0.74
Exceeding Target,0.87,0.88,0.8
Exceeding Target,0.98,1,0.99
Meeting Target,0.71,0.73,0.68
Approaching Target,0.77,0.84,0.71
Meeting Target,0.77,0.79,0.73
Approaching Target,0.58,0.69,0.52
Meeting Target,0.86,0.95,0.67
Meeting Target,0.79,0.89,0.69
Meeting Target,0.84,0.94,0.73
Approaching Target,0.9,0.96,0.94
Meeting Target,0.96,0.96,0.92
Meeting Target,0.76,0.71,0.68
Approaching Target,0.9,0.97,0.93
Exceeding Target,0.93,0.96,0.98
Approaching Target,0.75,0.76,0.73
Approaching Target,0.79,0.9,0.78
Approaching Target,0.71,0.83,0.83
Meeting Target,0.84,0.95,0.82
Meeting Target,0.76,0.81,0.78
Meeting Target,0.86,0.94,0.89
Meeting Target,0.81,0.85,0.79
Approaching Target,0.7,0.81,0.72
Meeting Target,0.78,0.89,0.68
Meeting Target,0.81,0.85,0.71
Meeting Target,0.86,0.89,0.9
Meeting Target,0.86,0.88,0.9
Meeting Target,0.84,0.88,0.72
Meeting Target,0.9,0.95,0.87
Meeting Target,0.77,0.78,0.64
Meeting Target,0.89,0.96,0.93
Approaching Target,0.76,0.75,0.71
Meeting Target,0.8,0.85,0.84
Exceeding Target,0.83,0.91,0.92
Meeting Target,0.64,0.6,0.58
Meeting Target,0.83,0.96,0.95
Meeting Target,0.85,0.86,0.7
Meeting Target,0.87,0.9,0.88
Meeting Target,0.75,0.77,0.69
Meeting Target,0.79,0.92,0.77
Approaching Target,0.76,0.76,0.64
Meeting Target,0.84,0.87,0.82
Not Meeting Target,0.61,0.65,0.42
Approaching Target,0.86,0.97,0.83
Approaching Target,0.8,0.78,0.7
Approaching Target,0.75,0.92,0.76
Approaching Target,0.88,0.95,0.81
Approaching Target,0.81,0.78,0.76
Approaching Target,0.82,0.88,0.75
Meeting Target,0.82,0.87,0.78
Approaching Target,0.84,0.89,0.75
Approaching Target,0.73,0.61,0.73
Approaching Target,0.74,0.8,0.78
Meeting Target,0.87,0.95,0.73
Meeting Target,0.82,0.82,0.74
Approaching Target,0.81,0.91,0.78
Approaching Target,0.81,0.8,0.69
Meeting Target,0.79,0.73,0.77
Exceeding Target,0.98,1,0.97
Meeting Target,0.91,0.93,0.85
Meeting Target,0.91,0.97,0.86
Meeting Target,0.83,0.88,0.84
Exceeding Target,0.93,0.88,0.88
Meeting Target,0.74,0.86,0.65
Meeting Target,0.8,0.87,0.74
Approaching Target,0.85,0.89,0.89
Approaching Target,0.85,0.84,0.86
Approaching Target,0.79,0.83,0.8
Approaching Target,0.85,0.81,0.89
Meeting Target,0.78,0.86,0.83
Meeting Target,0.86,0.91,0.78
Meeting Target,0.79,0.75,0.83
Meeting Target,0.82,0.8,0.75
Meeting Target,0.82,0.91,0.85
Meeting Target,0.9,0.87,0.86
Exceeding Target,0.78,0.76,0.71
Meeting Target,0.79,0.87,0.76
Exceeding Target,0.82,0.89,0.85
Meeting Target,0.88,0.93,0.82
Approaching Target,0.75,0.74,0.78
Meeting Target,0.73,0.7,0.79
Approaching Target,0.75,0.87,0.87
Meeting Target,0.83,0.87,0.74
Meeting Target,0.84,0.86,0.83
Meeting Target,0.91,0.94,0.84
Meeting Target,0.8,0.78,0.71
Meeting Target,0.86,0.89,0.76
Meeting Target,0.83,0.91,0.66
Approaching Target,0.72,0.7,0.77
Approaching Target,0.86,0.92,0.81
Meeting Target,0.79,0.83,0.84
Meeting Target,0.8,0.91,0.88
Meeting Target,0.91,0.93,0.94
Meeting Target,0.88,0.92,0.89
Approaching Target,0.76,0.8,0.84
Meeting Target,0.78,0.75,0.85
Meeting Target,0.87,0.95,0.82
Approaching Target,0.76,0.76,0.73
Exceeding Target,0.9,0.83,0.84
Exceeding Target,0.93,0.95,0.95
Exceeding Target,0.81,0.82,0.8
Meeting Target,0.85,0.92,0.91
Exceeding Target,0.89,0.91,0.92
Exceeding Target,0.86,0.83,0.91
Meeting Target,0.82,0.92,0.75
Approaching Target,0.83,0.85,0.86
Meeting Target,0.89,0.94,0.92
Exceeding Target,0.87,0.89,0.92
Exceeding Target,0.79,0.79,0.88
Meeting Target,0.82,0.88,0.87
Meeting Target,0.91,0.94,0.94
Meeting Target,0.91,0.95,0.91
Exceeding Target,0.82,0.81,0.86
Approaching Target,0.79,0.81,0.73
Meeting Target,0.91,0.9,0.91
Meeting Target,0.94,0.97,0.94
Meeting Target,0.95,1,0.99
Exceeding Target,0.87,0.92,0.8
Meeting Target,0.84,0.9,0.75
Meeting Target,0.94,0.97,0.95
Meeting Target,0.79,0.82,0.7
Meeting Target,0.79,0.85,0.64
Approaching Target,0.92,0.86,0.87
Approaching Target,0.9,0.93,0.92
Meeting Target,0.81,0.85,0.73
Exceeding Target,0.83,0.84,0.75
Meeting Target,0.78,0.76,0.67
Approaching Target,0.78,0.74,0.67
Approaching Target,0.79,0.74,0.74
Meeting Target,0.85,0.87,0.76
Approaching Target,0.76,0.85,0.61
Exceeding Target,0.81,0.87,0.79
Meeting Target,0.84,0.88,0.73
Meeting Target,0.95,0.98,0.96
Meeting Target,0.9,0.9,0.94
Meeting Target,0.91,0.97,0.95
Exceeding Target,0.91,0.96,0.97
Exceeding Target,0.87,0.91,0.91
Meeting Target,0.84,0.91,0.71
Meeting Target,0.84,0.92,0.75
Exceeding Target,0.96,0.91,0.96
Meeting Target,0.92,0.81,0.94
Meeting Target,0.86,0.88,0.88
Meeting Target,0.9,0.92,0.95
Meeting Target,0.8,0.81,0.69
Meeting Target,0.91,0.94,0.93
Meeting Target,0.76,0.79,0.86
Meeting Target,0.72,0.73,0.67
Meeting Target,0.83,0.9,0.91
Meeting Target,0.76,0.76,0.78
Meeting Target,0.85,0.82,0.92
Exceeding Target,0.88,0.9,0.92
Meeting Target,0.91,0.95,0.98
Exceeding Target,0.88,0.97,0.93
Meeting Target,0.92,0.94,0.89
Meeting Target,0.91,0.94,0.98
Exceeding Target,0.85,0.89,0.79
Meeting Target,0.96,0.98,0.97
Meeting Target,0.84,0.85,0.77
Meeting Target,0.86,0.85,0.79
Not Meeting Target,0.74,0.7,0.72
Approaching Target,0.73,0.61,0.56
Exceeding Target,0.84,0.86,0.85
Approaching Target,0.67,0.65,0.78
Meeting Target,0.88,0.93,0.91
Meeting Target,0.86,0.88,0.83
Approaching Target,0.95,0.92,0.97
Exceeding Target,0.84,0.87,0.86
Approaching Target,0.88,0.88,0.93
Meeting Target,0.91,0.96,0.92
Exceeding Target,0.86,0.93,0.9
Approaching Target,0.79,0.84,0.82
Exceeding Target,0.89,0.84,0.9
Meeting Target,0.83,0.87,0.85
Meeting Target,0.88,0.93,0.9
Approaching Target,0.86,0.96,0.91
Approaching Target,0.78,0.77,0.71
Approaching Target,0.84,0.83,0.71
Meeting Target,0.83,0.85,0.9
Exceeding Target,0.86,0.91,0.76
Approaching Target,0.86,0.9,0.83
Meeting Target,0.79,0.85,0.72
Meeting Target,0.85,0.89,0.76
Meeting Target,0.84,0.91,0.75
Exceeding Target,0.86,0.94,0.91
Approaching Target,0.69,0.66,0.79
Meeting Target,0.89,0.91,0.87
Meeting Target,0.86,0.92,0.8
Approaching Target,0.85,0.89,0.78
Approaching Target,0.66,0.59,0.64
Approaching Target,0.8,0.82,0.73
Approaching Target,0.78,0.76,0.68
Meeting Target,0.9,0.92,0.89
Meeting Target,0.84,0.82,0.74
Approaching Target,0.91,0.97,0.94
Approaching Target,0.85,0.96,0.75
Approaching Target,0.89,0.9,0.95
Meeting Target,0.74,0.7,0.73
Approaching Target,0.93,0.92,0.9
Meeting Target,0.86,0.84,0.88
Meeting Target,0.74,0.74,0.69
Meeting Target,0.95,0.99,0.95
Meeting Target,0.88,0.89,0.89
Meeting Target,0.88,0.88,0.86
Exceeding Target,0.9,0.92,0.85
Approaching Target,0.67,0.65,0.6
Meeting Target,0.85,0.92,0.94
Meeting Target,0.84,0.81,0.71
Approaching Target,0.91,0.89,0.85
Approaching Target,0.86,0.84,0.85
Exceeding Target,0.86,0.89,0.84
Approaching Target,0.82,0.8,0.88
Approaching Target,0.9,0.96,0.94
Approaching Target,0.71,0.79,0.65
Approaching Target,0.72,0.69,0.67
Approaching Target,0.66,0.66,0.79
Meeting Target,0.79,0.87,0.85
Approaching Target,0.92,0.96,0.88
Meeting Target,0.91,0.93,0.92
Approaching Target,0.86,0.9,0.9
Meeting Target,0.91,0.95,0.93
Approaching Target,0.82,0.88,0.86
Meeting Target,0.8,0.82,0.7
Meeting Target,0.89,0.96,0.94
Meeting Target,0.84,0.87,0.75
Approaching Target,0.85,0.93,0.83
Meeting Target,0.9,0.93,0.95
Approaching Target,0.83,0.9,0.77
Approaching Target,0.81,0.74,0.82
Meeting Target,0.92,0.97,0.95
Approaching Target,0.64,0.72,0.7
Approaching Target,0.78,0.73,0.69
Exceeding Target,0.87,0.93,0.9
Approaching Target,0.86,0.94,0.93
Exceeding Target,0.87,0.94,0.77
Approaching Target,0.88,0.96,0.88
Meeting Target,0.86,0.8,0.77
Meeting Target,0.83,0.9,0.72
Exceeding Target,0.74,0.72,0.69
Meeting Target,0.87,0.94,0.88
Approaching Target,0.78,0.82,0.66
Meeting Target,0.82,0.92,0.72
Exceeding Target,0.79,0.66,0.69
Meeting Target,0.82,0.71,0.71
Not Meeting Target,0.74,0.69,0.74
Approaching Target,0.92,0.95,0.97
Meeting Target,0.92,0.98,0.97
Approaching Target,0.82,0.8,0.73
Approaching Target,0.76,0.77,0.75
Approaching Target,0.74,0.75,0.72
Meeting Target,0.91,0.93,0.89
Approaching Target,0.79,0.9,0.79
Approaching Target,0.84,0.91,0.7
Meeting Target,0.89,0.94,0.93
Meeting Target,0.82,0.83,0.72
Approaching Target,0.82,0.9,0.69
Approaching Target,0.87,0.93,0.91
Meeting Target,0.85,0.72,0.88
Meeting Target,0.83,0.94,0.86
Approaching Target,0.71,0.7,0.56
Approaching Target,0.61,0.64,0.65
Approaching Target,0.85,0.92,0.85
Approaching Target,0.78,0.86,0.67
Approaching Target,0.81,0.8,0.78
